"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"purpleBLUE",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"redBLUE",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"whiteBLUE",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"bluePURPLE",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"purplePURPLE",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"redPURPLE",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"whitePURPLE",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"blueRED",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"purpleRED",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"redRED",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"whiteRED",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"blueWHITE",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"purpleWHITE",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"redWHITE",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"whiteWHITE",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
