"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"purpleBLUE",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"redBLUE",0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"whiteBLUE",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"bluePURPLE",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"purplePURPLE",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"redPURPLE",0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"whitePURPLE",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"blueRED",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"purpleRED",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"redRED",0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"whiteRED",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"blueWHITE",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"purpleWHITE",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"redWHITE",0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"whiteWHITE",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
